year_team,po_year,team_full,mean_age,mean_height,mean_weight,PtsSeason,OppPtsSeason,PtsDiff,Reb,Ast,Stl,Blk,To,Pf,Dreb,Oreb,playoffs
1998_Atlanta Hawks,1998,Atlanta Hawks,28.25,199.23125,99.166551,95.9,92.3,3.6000000000000085,42.8,19.0,8.0,5.9,14.0,20.5,29.5,13.4,True
1998_Boston Celtics,1998,Boston Celtics,25.857142857142858,200.29714285714286,95.027524,95.9,98.5,-2.5999999999999943,39.5,22.1,12.0,4.5,15.6,26.9,24.9,14.6,False
1998_Charlotte Hornets,1998,Charlotte Hornets,29.733333333333334,200.82933333333332,101.75580533333333,96.6,94.6,2.0,40.1,23.4,8.2,3.7,14.4,21.4,28.4,11.7,True
1998_Chicago Bulls,1998,Chicago Bulls,30.6,201.33733333333333,103.6911312,96.7,89.6,7.1000000000000085,44.1,23.1,8.6,4.3,13.0,21.1,29.2,14.9,True
1998_Cleveland Cavaliers,1998,Cleveland Cavaliers,26.375,199.23125,96.7568435,92.5,89.8,2.700000000000003,39.8,22.9,9.9,5.0,16.6,23.7,28.2,11.6,True
1998_Dallas Mavericks,1998,Dallas Mavericks,26.25,201.93,101.5195595,91.4,97.5,-6.099999999999994,40.1,18.7,7.9,5.6,13.5,20.0,27.8,12.3,False
1998_Denver Nuggets,1998,Denver Nuggets,26.4,199.64399999999998,100.63694506666667,89.0,100.8,-11.799999999999997,39.0,18.9,8.1,4.8,14.8,23.6,26.3,12.7,False
1998_Detroit Pistons,1998,Detroit Pistons,27.785714285714285,201.56714285714287,103.06258228571429,94.2,92.6,1.6000000000000085,41.2,19.5,8.3,4.2,13.8,22.0,28.5,12.7,False
1998_Golden State Warriors,1998,Golden State Warriors,27.0625,198.12,99.960337,88.3,97.4,-9.100000000000009,45.9,20.8,7.6,5.5,16.0,22.7,30.2,15.7,False
1998_Houston Rockets,1998,Houston Rockets,31.642857142857142,200.8414285714286,100.40582914285714,98.8,99.5,-0.7000000000000028,40.8,21.6,8.3,3.7,15.1,20.4,28.8,12.0,True
1998_Indiana Pacers,1998,Indiana Pacers,28.857142857142858,203.20000000000002,99.336648,96.0,89.9,6.099999999999994,38.6,22.4,7.8,4.5,13.6,23.0,28.2,10.4,True
1998_Los Angeles Clippers,1998,Los Angeles Clippers,26.285714285714285,200.84142857142857,100.37342971428572,95.9,103.3,-7.3999999999999915,40.4,18.7,7.6,5.6,15.2,22.3,27.8,12.7,False
1998_Los Angeles Lakers,1998,Los Angeles Lakers,25.76923076923077,201.6369230769231,104.2912683076923,105.5,97.8,7.700000000000003,42.9,24.3,8.7,6.8,14.7,22.9,29.7,13.2,True
1998_Miami Heat,1998,Miami Heat,28.375,201.13625,100.017036,95.0,90.0,5.0,41.7,21.1,8.0,5.2,14.2,24.2,29.4,12.3,True
1998_Milwaukee Bucks,1998,Milwaukee Bucks,28.3125,197.96125,100.810822,94.5,96.4,-1.9000000000000057,39.9,20.1,8.9,4.3,16.2,23.4,27.3,12.6,False
1998_Minnesota Timberwolves,1998,Minnesota Timberwolves,27.6875,199.86625,98.032571,101.1,100.4,0.6999999999999886,42.4,25.1,7.8,5.1,13.5,22.9,29.4,13.0,True
1998_New Jersey Nets,1998,New Jersey Nets,28.875,202.72375,101.5195595,99.6,98.1,1.5,42.3,20.4,9.4,3.8,13.6,23.5,26.1,16.2,True
1998_New York Knicks,1998,New York Knicks,31.875,200.9775,99.76189049999999,91.6,89.1,2.5,41.4,21.5,7.8,3.2,14.7,24.1,29.6,11.8,True
1998_Orlando Magic,1998,Orlando Magic,30.375,197.32625,96.0197565,90.1,91.2,-1.1000000000000085,41.2,20.7,7.9,5.4,14.9,19.7,26.9,14.4,False
1998_Philadelphia 76ers,1998,Philadelphia 76ers,26.875,202.08875,100.2721815,93.3,95.7,-2.4000000000000057,41.7,21.1,8.9,6.0,15.8,22.9,28.0,13.7,False
1998_Phoenix Suns,1998,Phoenix Suns,28.46153846153846,201.24615384615385,102.40711692307693,99.6,94.4,5.199999999999989,41.9,25.6,9.2,5.3,14.4,21.7,29.8,12.1,True
1998_Portland Trail Blazers,1998,Portland Trail Blazers,27.647058823529413,202.30352941176469,100.697424,94.3,92.9,1.3999999999999915,43.9,21.7,7.1,5.6,16.2,23.0,30.6,13.3,True
1998_Sacramento Kings,1998,Sacramento Kings,26.866666666666667,201.676,99.39712693333333,93.1,98.7,-5.6000000000000085,41.4,22.4,7.3,5.1,15.0,22.1,28.1,13.3,False
1998_San Antonio Spurs,1998,San Antonio Spurs,29.357142857142858,202.29285714285714,100.43822857142857,92.5,88.5,4.0,44.1,21.9,6.2,6.9,15.3,21.2,32.2,11.9,True
1998_Seattle SuperSonics,1998,Seattle SuperSonics,30.133333333333333,201.50666666666666,100.5159872,100.6,93.4,7.199999999999989,38.5,24.0,9.7,4.5,13.4,22.3,27.0,11.5,True
1998_Toronto Raptors,1998,Toronto Raptors,25.894736842105264,201.4621052631579,105.06623115789473,94.9,104.2,-9.299999999999997,40.7,21.3,9.4,8.1,16.2,22.6,26.2,14.5,False
1998_Utah Jazz,1998,Utah Jazz,28.923076923076923,198.90153846153845,99.86002338461539,101.0,88.5,12.5,40.8,24.7,7.6,4.8,14.7,24.3,29.5,11.3,True
1998_Vancouver Grizzlies,1998,Vancouver Grizzlies,27.153846153846153,199.48769230769233,100.03448184615384,96.6,103.9,-7.300000000000011,41.4,23.9,7.5,4.3,16.5,22.1,28.2,13.2,False
1998_Washington Wizards,1998,Washington Wizards,27.1875,198.59625,96.898591,97.2,96.6,0.6000000000000085,42.2,23.2,8.4,4.6,13.5,22.4,28.5,13.7,False
1999_Atlanta Hawks,1999,Atlanta Hawks,28.5,199.57142857142858,100.470628,86.3,83.4,2.8999999999999915,42.8,15.4,7.1,5.0,14.0,19.7,29.5,13.3,True
1999_Boston Celtics,1999,Boston Celtics,25.733333333333334,200.82933333333332,100.09263466666667,93.0,94.9,-1.9000000000000057,42.8,21.5,9.1,5.1,15.5,23.9,29.2,13.6,False
